Ticker,Type,Rank,Value,TimeWindow
AYTU,price_percent_change,0,1440.880503144654,1m
SYN,price_percent_change,1,1436.2649914334663,1m
IDRA,price_percent_change,2,1004.021189501565,1m
CFBK,price_percent_change,3,481.70731707317077,1m
IPAS,price_percent_change,4,450.14326647564474,1m
JMU,price_percent_change,5,409.18446259982704,1m
SSC,price_percent_change,6,128.69198312236284,1m
LTRX,price_percent_change,7,119.77186311787074,1m
AMMA,price_percent_change,8,100.09528346831824,1m
KALV,price_percent_change,9,84.53105968331302,1m
TLRY,price_percent_change,10,80.49382716049382,1m
HIIQ,price_percent_change,11,80.16129032258064,1m
CGC,price_percent_change,12,75.37022603273577,1m
CDNA,price_percent_change,13,75.20661157024793,1m
VSI,price_percent_change,14,73.88535031847135,1m
CVM,price_percent_change,15,72.29879946642954,1m
DDD,price_percent_change,16,68.4931506849315,1m
TCS,price_percent_change,17,67.46626686656671,1m
INSG,price_percent_change,18,65.4054054054054,1m
ACER,price_percent_change,19,62.987341772151886,1m
CHKE,price_percent_change,20,62.66076870768278,1m
IGC,price_percent_change,21,61.57004479079422,1m
LBY,price_percent_change,22,60.88825214899713,1m
SODA,price_percent_change,23,60.81554275386875,1m
CRON,price_percent_change,24,59.550561797752785,1m
REGI,price_percent_change,25,59.516616314199375,1m
TAT,price_percent_change,26,55.963302752293565,1m
GERN,price_percent_change,27,55.38922155688625,1m
MNK,price_percent_change,28,54.73179241168773,1m
TTD,price_percent_change,29,54.58100558659217,1m
WIN,price_percent_change,30,53.50877192982456,1m
KOSS,price_percent_change,31,53.281853281853294,1m
LQDA,price_percent_change,32,52.59326660600545,1m
ATLC,price_percent_change,33,52.57142857142857,1m
CATM,price_percent_change,34,52.50903251706143,1m
CARV,price_percent_change,35,51.00942126514133,1m
NVTA,price_percent_change,36,50.059737156511375,1m
CHMA,price_percent_change,37,50.0,1m
OBLN,price_percent_change,38,49.99999999999999,1m
TNDM,price_percent_change,39,49.882812499999986,1m
PS,price_percent_change,40,49.684968496849685,1m
ATAI,price_percent_change,41,48.67256637168143,1m
CORE,price_percent_change,42,48.454469507101074,1m
LGL,price_percent_change,43,47.16981132075472,1m
BEL,price_percent_change,44,46.36363636363638,1m
CTRL,price_percent_change,45,46.21182070606901,1m
GWGH,price_percent_change,46,43.99999999999999,1m
HABT,price_percent_change,47,43.36283185840706,1m
INAP,price_percent_change,48,43.24324324324324,1m
MDLY,price_percent_change,49,43.24324324324323,1m
DXCM,price_percent_change,50,42.97850026219195,1m
ASNA,price_percent_change,51,41.81286549707602,1m
WIFI,price_percent_change,52,40.9494232475599,1m
EKSO,price_percent_change,53,40.555555555555536,1m
TSQ,price_percent_change,54,40.18547140649151,1m
PAYC,price_percent_change,55,39.74631978520507,1m
HTZ,price_percent_change,56,39.68481375358166,1m
REV,price_percent_change,57,39.273927392739274,1m
PTGX,price_percent_change,58,39.21568627450981,1m
FNKO,price_percent_change,59,39.114832535885185,1m
HZN,price_percent_change,60,39.07407407407406,1m
GLUU,price_percent_change,61,38.90909090909091,1m
LIQT,price_percent_change,62,38.8235294117647,1m
XERS,price_percent_change,63,38.60215053763441,1m
FIVN,price_percent_change,64,38.56934306569343,1m
REFR,price_percent_change,65,38.46153846153846,1m
STAA,price_percent_change,66,38.05855161787363,1m
NVTR,price_percent_change,67,37.89062500000001,1m
ATRS,price_percent_change,68,37.878787878787875,1m
VRS,price_percent_change,69,37.818696883852695,1m
CKPT,price_percent_change,70,37.769784172661886,1m
ZUMZ,price_percent_change,71,37.4133949191686,1m
TRHC,price_percent_change,72,37.32081067721207,1m
AOI,price_percent_change,73,37.226277372262786,1m
ISNS,price_percent_change,74,37.142857142857146,1m
BIOL,price_percent_change,75,37.096774193548384,1m
BE,price_percent_change,76,36.76991150442477,1m
PETQ,price_percent_change,77,36.39999999999999,1m
QTM,price_percent_change,78,36.30952380952382,1m
CVNA,price_percent_change,79,35.89685591495137,1m
ANGI,price_percent_change,80,35.74074074074074,1m
ARC,price_percent_change,81,35.593220338983066,1m
AFI,price_percent_change,82,35.53846153846155,1m
INS,price_percent_change,83,35.514018691588795,1m
MTCH,price_percent_change,84,35.50120935232465,1m
RNN,price_percent_change,85,35.338345864661655,1m
HBP,price_percent_change,86,35.338345864661655,1m
IRBT,price_percent_change,87,34.81786427145708,1m
CVGI,price_percent_change,88,34.58213256484149,1m
AYX,price_percent_change,89,34.49344457687723,1m
ATEC,price_percent_change,90,34.40860215053763,1m
CRMT,price_percent_change,91,34.372501998401276,1m
MOC,price_percent_change,92,34.328358208955216,1m
SMAR,price_percent_change,93,34.26094890510948,1m
CRNX,price_percent_change,94,34.23534235342353,1m
ODP,price_percent_change,95,34.13654618473893,1m
RUBI,price_percent_change,96,33.99339933993399,1m
NGVC,price_percent_change,97,33.746556473829216,1m
TWLO,price_percent_change,98,33.68473068687201,1m
AVP,price_percent_change,99,33.552631578947356,1m
ARA,price_percent_change,100,33.45432546884451,1m
SHSP,price_percent_change,101,33.33333333333333,1m
HFFG,price_percent_change,102,33.24188919694537,1m
NPTN,price_percent_change,103,33.13696612665684,1m
HMSY,price_percent_change,104,33.07952622673435,1m
ROKU,price_percent_change,105,33.06689103912495,1m
SEND,price_percent_change,106,33.038801383019596,1m
VRTV,price_percent_change,107,33.012379642365886,1m
TCMD,price_percent_change,108,32.88797533401851,1m
ZUO,price_percent_change,109,32.88216560509555,1m
AMED,price_percent_change,110,32.775170648464155,1m
CMLS,price_percent_change,111,32.6,1m
CATS,price_percent_change,112,32.38636363636364,1m
RESI,price_percent_change,113,32.30452674897118,1m
THST,price_percent_change,114,32.261812548412095,1m
IAC,price_percent_change,115,32.17933412919486,1m
KNSA,price_percent_change,116,31.97278911564626,1m
RNET,price_percent_change,117,31.93277310924369,1m
MOH,price_percent_change,118,31.92891946116366,1m
FOXF,price_percent_change,119,31.73957273652086,1m
CSTE,price_percent_change,120,31.707317073170728,1m
FATE,price_percent_change,121,31.666666666666664,1m
JOUT,price_percent_change,122,31.62696401419158,1m
BNFT,price_percent_change,123,31.424148606811166,1m
CLW,price_percent_change,124,31.278538812785396,1m
METC,price_percent_change,125,31.202435312024335,1m
QTRH,price_percent_change,126,31.1926605504587,1m
ZOES,price_percent_change,127,31.07843137254902,1m
ALRM,price_percent_change,128,30.762038335670866,1m
IMMY,price_percent_change,129,30.70539419087136,1m
INVE,price_percent_change,130,30.481283422459892,1m
FAT,price_percent_change,131,30.393700787401574,1m
RIBT,price_percent_change,132,30.165289256198346,1m
DNLI,price_percent_change,133,30.08709422011084,1m
STIM,price_percent_change,134,30.077821011673155,1m
BLFS,price_percent_change,135,29.974489795918362,1m
IRMD,price_percent_change,136,29.933481152993345,1m
NSYS,price_percent_change,137,29.90936555891238,1m
ESIO,price_percent_change,138,29.778786159954624,1m
CECE,price_percent_change,139,29.635258358662604,1m
NUVA,price_percent_change,140,29.62757087270705,1m
PXLW,price_percent_change,141,29.545454545454565,1m
NCNA,price_percent_change,142,29.52286282306162,1m
XENE,price_percent_change,143,29.508196721311464,1m
ANW,price_percent_change,144,29.2517006802721,1m
SSYS,price_percent_change,145,29.23794712286159,1m
EHTH,price_percent_change,146,29.2314335060449,1m
FLDM,price_percent_change,147,29.153094462540718,1m
USM,price_percent_change,148,29.14943886591848,1m
AVNS,price_percent_change,149,29.135405501965007,1m
WING,price_percent_change,150,29.074545098806492,1m
SFIX,price_percent_change,151,28.702134869535733,1m
MED,price_percent_change,152,28.67937489266701,1m
QURE,price_percent_change,153,28.664707802807698,1m
NSTG,price_percent_change,154,28.608695652173903,1m
MGTX,price_percent_change,155,28.57142857142857,1m
INSP,price_percent_change,156,28.543689320388342,1m
ENDP,price_percent_change,157,28.535980148883368,1m
CORI,price_percent_change,158,28.513513513513505,1m
CNAT,price_percent_change,159,28.39506172839507,1m
RFP,price_percent_change,160,28.292682926829272,1m
HQCL,price_percent_change,161,28.264208909370197,1m
AJRD,price_percent_change,162,28.250801567509797,1m
GNMK,price_percent_change,163,27.852348993288594,1m
SEAS,price_percent_change,164,27.726432532347506,1m
ATTU,price_percent_change,165,27.639751552795023,1m
AMSC,price_percent_change,166,27.634194831013907,1m
REPH,price_percent_change,167,27.626459143968873,1m
VEEV,price_percent_change,168,27.392405063291143,1m
WK,price_percent_change,169,27.342256214149135,1m
SUP,price_percent_change,170,27.325581395348834,1m
HSII,price_percent_change,171,27.31213872832369,1m
RLJE,price_percent_change,172,27.31006160164271,1m
INO,price_percent_change,173,27.13567839195979,1m
MYE,price_percent_change,174,27.094972067039112,1m
MRCY,price_percent_change,175,27.08333333333335,1m
NERV,price_percent_change,176,27.0440251572327,1m
WVE,price_percent_change,177,26.98826597131682,1m
TCCO,price_percent_change,178,26.923076923076934,1m
SUMR,price_percent_change,179,26.7605633802817,1m
IMKTA,price_percent_change,180,26.655052264808372,1m
NTRA,price_percent_change,181,26.628771316134674,1m
AMD,price_percent_change,182,26.610348468848994,1m
NAKD,price_percent_change,183,26.53185595567868,1m
SSKN,price_percent_change,184,26.442307692307683,1m
NKTR,price_percent_change,185,26.439738769048088,1m
CAMT,price_percent_change,186,26.3030303030303,1m
SRRK,price_percent_change,187,26.21794871794873,1m
PTSI,price_percent_change,188,26.06750711671411,1m
TACT,price_percent_change,189,25.97402597402597,1m
ADVM,price_percent_change,190,25.92592592592594,1m
TRTN,price_percent_change,191,25.919948353776622,1m
BCRX,price_percent_change,192,25.783972125435533,1m
ONDK,price_percent_change,193,25.759768451519527,1m
TIK,price_percent_change,194,25.531914893617024,1m
PAR,price_percent_change,195,25.472207231516453,1m
RAVN,price_percent_change,196,25.386597938144334,1m
